observation,age,value,region,sex
DsFreeSus -> Disability,0_4,0.038827,Andean Latin America,M
DsFreeSus -> Disability,5_9,0.051611,Andean Latin America,M
DsFreeSus -> Disability,10_14,0.064395,Andean Latin America,M
DsFreeSus -> Disability,15_19,0.077179,Andean Latin America,M
DsFreeSus -> Disability,20_24,0.089962,Andean Latin America,M
DsFreeSus -> Disability,25_29,0.102746,Andean Latin America,M
DsFreeSus -> Disability,30_39,0.121922,Andean Latin America,M
DsFreeSus -> Disability,40_49,0.14749,Andean Latin America,M
DsFreeSus -> Disability,50_59,0.173057,Andean Latin America,M
DsFreeSus -> Disability,60_69,0.198625,Andean Latin America,M
DsFreeSus -> Disability,70_79,0.224193,Andean Latin America,M
DsFreeSus -> Disability,80_100,0.256153,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,0_4,0.0056,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,5_9,0.03,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,10_14,0.0246,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,15_19,0.0024,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,20_24,0.0004,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,25_29,0.0014,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,30_39,0.0022,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,40_49,0.0023,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,50_59,0.0023,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,60_69,0.0032,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,70_79,0.0039,Andean Latin America,M
DsFreeSus -> AsthmaEpsd,80_100,0.0058,Andean Latin America,M
AsthmaEpsd -> Disability,0_4,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,5_9,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,10_14,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,15_19,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,20_24,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,25_29,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,30_39,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,40_49,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,50_59,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,60_69,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,70_79,0.067518,Andean Latin America,M
AsthmaEpsd -> Disability,80_100,0.067518,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,0_4,0.0533,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,5_9,0.0716,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,10_14,0.0902,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,15_19,0.1042,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,20_24,0.11,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,25_29,0.099,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,30_39,0.066,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,40_49,0.0447,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,50_59,0.0346,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,60_69,0.0365,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,70_79,0.0331,Andean Latin America,M
AsthmaEpsd -> DsFreeSus,80_100,0.032,Andean Latin America,M
Prevalence -> AsthmaEpsd,0_4,0.0073,Andean Latin America,M
Prevalence -> AsthmaEpsd,5_9,0.0774,Andean Latin America,M
Prevalence -> AsthmaEpsd,10_14,0.1626,Andean Latin America,M
Prevalence -> AsthmaEpsd,15_19,0.1359,Andean Latin America,M
Prevalence -> AsthmaEpsd,20_24,0.081,Andean Latin America,M
Prevalence -> AsthmaEpsd,25_29,0.0511,Andean Latin America,M
Prevalence -> AsthmaEpsd,30_39,0.0398,Andean Latin America,M
Prevalence -> AsthmaEpsd,40_49,0.0401,Andean Latin America,M
Prevalence -> AsthmaEpsd,50_59,0.0452,Andean Latin America,M
Prevalence -> AsthmaEpsd,60_69,0.0537,Andean Latin America,M
Prevalence -> AsthmaEpsd,70_79,0.0637,Andean Latin America,M
Prevalence -> AsthmaEpsd,80_100,0.0909,Andean Latin America,M
Disability -> Disability,0_4,0.0,Andean Latin America,M
Disability -> Disability,5_9,0.0,Andean Latin America,M
Disability -> Disability,10_14,0.0,Andean Latin America,M
Disability -> Disability,15_19,0.0,Andean Latin America,M
Disability -> Disability,20_24,0.0,Andean Latin America,M
Disability -> Disability,25_29,0.0,Andean Latin America,M
Disability -> Disability,30_39,0.0,Andean Latin America,M
Disability -> Disability,40_49,0.0,Andean Latin America,M
Disability -> Disability,50_59,0.0,Andean Latin America,M
Disability -> Disability,60_69,0.0,Andean Latin America,M
Disability -> Disability,70_79,0.0,Andean Latin America,M
Disability -> Disability,80_100,0.0,Andean Latin America,M
InhaleShortactingBeta -> Disability,0_4,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,5_9,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,10_14,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,15_19,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,20_24,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,25_29,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,30_39,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,40_49,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,50_59,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,60_69,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,70_79,-0.00961066,Andean Latin America,M
InhaleShortactingBeta -> Disability,80_100,-0.00961066,Andean Latin America,M
LowDoseBeclom -> Disability,0_4,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,5_9,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,10_14,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,15_19,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,20_24,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,25_29,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,30_39,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,40_49,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,50_59,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,60_69,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,70_79,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Disability,80_100,-0.07979948,Andean Latin America,M
LowDoseBeclom -> Deceased,0_4,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,5_9,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,10_14,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,15_19,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,20_24,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,25_29,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,30_39,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,40_49,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,50_59,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,60_69,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,70_79,-0.5,Andean Latin America,M
LowDoseBeclom -> Deceased,80_100,-0.5,Andean Latin America,M
HighDoseBeclom -> Disability,0_4,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,5_9,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,10_14,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,15_19,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,20_24,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,25_29,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,30_39,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,40_49,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,50_59,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,60_69,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,70_79,-0.13260075000000002,Andean Latin America,M
HighDoseBeclom -> Disability,80_100,-0.13260075000000002,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,0_4,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,5_9,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,10_14,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,15_19,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,20_24,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,25_29,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,30_39,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,40_49,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,50_59,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,60_69,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,70_79,-0.13752775,Andean Latin America,M
OralPrednisTheopPlusBeclom -> Disability,80_100,-0.13752775,Andean Latin America,M
TheopPlusBeclom -> Disability,0_4,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,5_9,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,10_14,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,15_19,-0.24015361999999998,Andean Latin America,M
