================================================================================
PARITY TEST REPORT
================================================================================
Generated: 2025-12-05T02:33:41.324233
Git commit: ff660ecea2b49dc980cd3812efdee5a455d47103

Total tests: 1548
Passed (strict): 700/1548
Passed (tolerant): 1548/1548
Event failures: 0/1548
Value failures: 848/1548
Errors: 0/1548


================================================================================
ALL RESULTS
================================================================================
model,scenario,country,status,event_parity,value_parity,rust_events,python_events,max_rel_diff
model,baseline,AFG,passed,True,True,12382,12382,0.004163
model,baseline,ALB,passed,True,True,12382,12382,0.004163
model,baseline,DZA,passed,True,True,12382,12382,0.004163
model,baseline,AGO,passed,True,True,12382,12382,0.004163
model,baseline,ARG,passed,True,True,12382,12382,0.004163
model,baseline,ARM,passed,True,True,12382,12382,0.004163
model,baseline,AUS,passed,True,True,12382,12382,0.004163
model,baseline,AUT,passed,True,True,12382,12382,0.004163
model,baseline,AZE,passed,True,True,12382,12382,0.004163
model,baseline,BHS,passed,True,True,12382,12382,0.004163
model,baseline,BHR,passed,True,True,12382,12382,0.004163
model,baseline,BGD,passed,True,True,12382,12382,0.004163
model,baseline,BRB,passed,True,True,12382,12382,0.004163
model,baseline,BLR,passed,True,True,12382,12382,0.004163
model,baseline,BEL,passed,True,True,12382,12382,0.004163
model,baseline,BLZ,passed,True,True,12382,12382,0.004163
model,baseline,BEN,passed,True,True,12382,12382,0.004163
model,baseline,BTN,passed,True,True,12382,12382,0.004163
model,baseline,BIH,passed,True,True,12382,12382,0.004163
model,baseline,BWA,passed,True,True,12382,12382,0.004163
model,baseline,BRA,passed,True,True,12382,12382,0.004163
model,baseline,BRN,passed,True,True,12382,12382,0.004163
model,baseline,BGR,passed,True,True,12382,12382,0.004163
model,baseline,BFA,passed,True,True,12382,12382,0.004163
model,baseline,BDI,passed,True,True,12382,12382,0.004163
model,baseline,KHM,passed,True,True,12382,12382,0.004163
model,baseline,CMR,passed,True,True,12382,12382,0.004163
model,baseline,CAN,passed,True,True,12382,12382,0.004163
model,baseline,CPV,passed,True,True,12382,12382,0.004163
model,baseline,CAF,passed,True,True,12382,12382,0.004163
model,baseline,TCD,passed,True,True,12382,12382,0.004163
model,baseline,CHL,passed,True,True,12382,12382,0.004163
model,baseline,CHN,passed,True,True,12382,12382,0.004163
model,baseline,COL,passed,True,True,12382,12382,0.004163
model,baseline,COM,passed,True,True,12382,12382,0.004163
model,baseline,COG,passed,True,True,12382,12382,0.004163
model,baseline,COD,passed,True,True,12382,12382,0.004163
model,baseline,CRI,passed,True,True,12382,12382,0.004163
model,baseline,CIV,passed,True,True,12382,12382,0.004163
model,baseline,HRV,passed,True,True,12382,12382,0.004163
model,baseline,CUB,passed,True,True,12382,12382,0.004163
model,baseline,CYP,passed,True,True,12382,12382,0.004163
model,baseline,CZE,passed,True,True,12382,12382,0.004163
model,baseline,DNK,passed,True,True,12382,12382,0.004163
model,baseline,DJI,passed,True,True,12382,12382,0.004163
model,baseline,DOM,passed,True,True,12382,12382,0.004163
model,baseline,EGY,passed,True,True,12382,12382,0.004163
model,baseline,SLV,passed,True,True,12382,12382,0.004163
model,baseline,GNQ,passed,True,True,12382,12382,0.004163
model,baseline,ERI,passed,True,True,12382,12382,0.004163
model,baseline,EST,passed,True,True,12382,12382,0.004163
model,baseline,ETH,passed,True,True,12382,12382,0.004163
model,baseline,FJI,passed,True,True,12382,12382,0.004163
model,baseline,FIN,passed,True,True,12382,12382,0.004163
model,baseline,FRA,passed,True,True,12382,12382,0.004163
model,baseline,GAB,passed,True,True,12382,12382,0.004163
model,baseline,GMB,passed,True,True,12382,12382,0.004163
model,baseline,GEO,passed,True,True,12382,12382,0.004163
model,baseline,DEU,passed,True,True,12382,12382,0.004163
model,baseline,GHA,passed,True,True,12382,12382,0.004163
model,baseline,GRC,passed,True,True,12382,12382,0.004163
model,baseline,GTM,passed,True,True,12382,12382,0.004163
model,baseline,GIN,passed,True,True,12382,12382,0.004163
model,baseline,GNB,passed,True,True,12382,12382,0.004163
model,baseline,GUY,passed,True,True,12382,12382,0.004163
model,baseline,HTI,passed,True,True,12382,12382,0.004163
model,baseline,HND,passed,True,True,12382,12382,0.004163
model,baseline,HUN,passed,True,True,12382,12382,0.004163
model,baseline,ISL,passed,True,True,12382,12382,0.004163
model,baseline,IND,passed,True,True,12382,12382,0.004163
model,baseline,IDN,passed,True,True,12382,12382,0.004163
model,baseline,IRN,passed,True,True,12382,12382,0.004163
model,baseline,IRQ,passed,True,True,12382,12382,0.004163
model,baseline,IRL,passed,True,True,12382,12382,0.004163
model,baseline,ISR,passed,True,True,12382,12382,0.004163
model,baseline,ITA,passed,True,True,12382,12382,0.004163
model,baseline,JAM,passed,True,True,12382,12382,0.004163
model,baseline,JPN,passed,True,True,12382,12382,0.004163
model,baseline,JOR,passed,True,True,12382,12382,0.004163
model,baseline,KAZ,passed,True,True,12382,12382,0.004163
model,baseline,KEN,passed,True,True,12382,12382,0.004163
model,baseline,PRK,passed,True,True,12382,12382,0.004163
model,baseline,KOR,passed,True,True,12382,12382,0.004163
model,baseline,KWT,passed,True,True,12382,12382,0.004163
model,baseline,KGZ,passed,True,True,12382,12382,0.004163
model,baseline,LAO,passed,True,True,12382,12382,0.004163
model,baseline,LVA,passed,True,True,12382,12382,0.004163
model,baseline,LBN,passed,True,True,12382,12382,0.004163
model,baseline,LSO,passed,True,True,12382,12382,0.004163
model,baseline,LBR,passed,True,True,12382,12382,0.004163
model,baseline,LBY,passed,True,True,12382,12382,0.004163
model,baseline,LTU,passed,True,True,12382,12382,0.004163
model,baseline,LUX,passed,True,True,12382,12382,0.004163
model,baseline,MKD,passed,True,True,12382,12382,0.004163
model,baseline,MDG,passed,True,True,12382,12382,0.004163
model,baseline,MWI,passed,True,True,12382,12382,0.004163
model,baseline,MYS,passed,True,True,12382,12382,0.004163
model,baseline,MDV,passed,True,True,12382,12382,0.004163
model,baseline,MLI,passed,True,True,12382,12382,0.004163
model,baseline,MLT,passed,True,True,12382,12382,0.004163
model,baseline,MRT,passed,True,True,12382,12382,0.004163
model,baseline,MUS,passed,True,True,12382,12382,0.004163
model,baseline,MEX,passed,True,True,12382,12382,0.004163
model,baseline,MDA,passed,True,True,12382,12382,0.004163
model,baseline,MNG,passed,True,True,12382,12382,0.004163
model,baseline,MNE,passed,True,True,12382,12382,0.004163
model,baseline,MAR,passed,True,True,12382,12382,0.004163
model,baseline,MOZ,passed,True,True,12382,12382,0.004163
model,baseline,MMR,passed,True,True,12382,12382,0.004163
model,baseline,NAM,passed,True,True,12382,12382,0.004163
model,baseline,NPL,passed,True,True,12382,12382,0.004163
model,baseline,NLD,passed,True,True,12382,12382,0.004163
model,baseline,NZL,passed,True,True,12382,12382,0.004163
model,baseline,NIC,passed,True,True,12382,12382,0.004163
model,baseline,NER,passed,True,True,12382,12382,0.004163
model,baseline,NGA,passed,True,True,12382,12382,0.004163
model,baseline,NOR,passed,True,True,12382,12382,0.004163
model,baseline,OMN,passed,True,True,12382,12382,0.004163
model,baseline,PAK,passed,True,True,12382,12382,0.004163
model,baseline,PAN,passed,True,True,12382,12382,0.004163
model,baseline,PNG,passed,True,True,12382,12382,0.004163
model,baseline,PRY,passed,True,True,12382,12382,0.004163
model,baseline,PHL,passed,True,True,12382,12382,0.004163
