type,name,id,timestamp,notes
INFO,Created on 2025-03-17 14:12:10,,,
MODEL,NCD Rebuild - Asthma Disease Model,01JPJMWPSTH03QNJWRKHQSP1PR,2025-03-17 14:12:11,
SCENARIO,Appendix 3 - Tobacco T1 Scenario,01JPJMWR4VDJ3H3AXKV356VH0W,2025-03-17 14:12:12,
SCENARIO,Appendix 3 - CR1 Scenario,01JPJMWRJ83YE4ZMPAA84XK22A,2025-03-17 14:12:12,
SCENARIO,Appendix 3 - Tobacco Null Scenario,01JPJMWRYYH7DXJNX7WPTNBJED,2025-03-17 14:12:12,
SCENARIO,Appendix 3 - Tobacco T2 Scenario,01JPJMWS9DD6RXCEQND9MN2CQS,2025-03-17 14:12:13,
SCENARIO,Appendix 3 - Tobacco T3 Scenario,01JPJMWSNAMEW1ZV5RZE5W62JX,2025-03-17 14:12:13,
SCENARIO,Appendix 3 - Asthma Null Scenario,01JPJMWT13QJM9ZT0A1SGC803V,2025-03-17 14:12:14,
SCENARIO,Appendix 3 - Tobacco T6 Scenario,01JPJMWTF6DEH6DCXC99VADGBV,2025-03-17 14:12:14,
SCENARIO,Default Scenario,01JPJMWTXA8J1XA3TTWWS3GBBQ,2025-03-17 14:12:14,
SCENARIO,Appendix 3 - Tobacco T7 Scenario,01JPJMWV9VVW980TK668A9ZJ53,2025-03-17 14:12:15,
SCENARIO,Appendix 3 - Tobacco T4 Scenario,01JPJMWVNEBZ61TQSZEBDB6FQ7,2025-03-17 14:12:15,
SCENARIO,Appendix 3 - Tobacco T5 Scenario,01JPJMWVZH4Y226W4QK6557Y5C,2025-03-17 14:12:16,
SCENARIO,Appendix 3 - CR3 Scenario,01JPJMWWA9SY27NYX0YN3JN7WM,2025-03-17 14:12:16,
ANALYSIS,ASTHMA_T1,01JPJMWX27FK6KAFMGMRAWDTX8,2025-03-17 14:12:17,
ANALYSIS,ASTHMA_T2,01JPJMWXENCB0A2NTZFDS1VCQ7,2025-03-17 14:12:17,
ANALYSIS,ASTHMA_T3,01JPJMWXSVCQ9KJ9DPEK8MBZJ6,2025-03-17 14:12:17,
ANALYSIS,ASTHMA_T6,01JPJMWY3V8QJ3NYGV4W9MEJVQ,2025-03-17 14:12:18,
ANALYSIS,CR3,01JPJMWYDE80160ZMWHVW82EDQ,2025-03-17 14:12:18,
ANALYSIS,ASTHMA_T7,01JPJMWYRE79V6EYPX4BCEVAVE,2025-03-17 14:12:18,
ANALYSIS,CR1,01JPJMWZ5QHYDDJ9N1XMR9VK1H,2025-03-17 14:12:19,
ANALYSIS,ASTHMA_T4,01JPJMWZHJSMGB5B3YWJXM0HGX,2025-03-17 14:12:19,
ANALYSIS,ASTHMA_T5,01JPJMWZY707WWETAF9GFPJ7ZD,2025-03-17 14:12:20,
